event,side,entry_time,entry_price,exit_time,exit_price,reason,lots,risk_usd,sl,tp,gross,pnl,r
2019-05-03T12:30,short,2019-05-03 12:30:00+00:00,1271.1207000000002,2019-05-03 12:40:00+00:00,1274.2711000000002,stop,0.01,3.0,1274.1207000000002,0.0,-3.1503999999999905,-3.2203999999999904,-1.0734666666666635
2019-06-07T12:30,long,2019-06-07 12:30:00+00:00,1338.6741999999997,2019-06-07 12:50:00+00:00,1341.3691000000001,stop,0.01,3.0,1341.835,0.0,2.694900000000416,2.6249000000004163,0.8749666666668054
2019-07-05T12:30,short,2019-07-05 12:30:00+00:00,1412.1176000000003,2019-07-05 12:34:00+00:00,1400.4035000000001,stop,0.01,3.0,1400.0980000000002,0.0,11.714100000000144,11.644100000000144,3.8813666666667146
2019-08-02T12:30,short,2019-08-02 12:30:00+00:00,1435.6992000000002,2019-08-02 12:30:00+00:00,1439.3550000000002,stop,0.01,3.0,1438.6992000000002,0.0,-3.6557999999999993,-3.725799999999999,-1.2419333333333331
2019-08-02T12:30,long,2019-08-02 12:30:00+00:00,1438.2108,2019-08-02 12:41:00+00:00,1435.037,stop,0.01,3.0,1435.2108,0.0,-3.1738000000000284,-3.243800000000028,-1.0812666666666761
2019-09-06T12:30,short,2019-09-06 12:30:00+00:00,1504.9649000000004,2019-09-06 12:30:00+00:00,1508.9780000000005,stop,0.01,3.0,1507.9649000000004,0.0,-4.013100000000122,-4.0831000000001225,-1.3610333333333742
2019-09-06T12:30,long,2019-09-06 12:30:00+00:00,1508.1911,2019-09-06 12:33:00+00:00,1510.9934,stop,0.01,3.0,1511.249,0.0,2.8023000000000593,2.7323000000000595,0.9107666666666865
2019-10-04T12:30,long,2019-10-04 12:30:00+00:00,1510.5461,2019-10-04 12:30:00+00:00,1506.488,stop,0.01,3.0,1507.5461,0.0,-4.058099999999968,-4.128099999999968,-1.3760333333333226
2019-10-04T12:30,short,2019-10-04 12:30:00+00:00,1507.2299000000003,2019-10-04 12:31:00+00:00,1510.5586000000003,stop,0.01,3.0,1510.2299000000003,0.0,-3.328700000000026,-3.398700000000026,-1.1329000000000087
2019-11-01T12:30,long,2019-11-01 12:30:00+00:00,1512.2805,2019-11-01 12:30:00+00:00,1508.576,stop,0.01,3.0,1509.2805,0.0,-3.7045000000000528,-3.7745000000000526,-1.2581666666666842
2019-11-01T12:30,short,2019-11-01 12:30:00+00:00,1509.5415,2019-11-01 12:45:00+00:00,1507.1250000000002,stop,0.01,3.0,1506.9830000000002,0.0,2.4164999999998145,2.3464999999998146,0.7821666666666048
2019-12-06T13:30,long,2019-12-06 13:30:00+00:00,1480.0302000000001,2019-12-06 13:30:00+00:00,1475.518,stop,0.01,3.0,1477.0302000000001,0.0,-4.512200000000121,-4.582200000000121,-1.5274000000000403
2019-12-06T13:30,short,2019-12-06 13:30:00+00:00,1475.6478000000002,2019-12-06 13:58:00+00:00,1469.9555000000003,stop,0.01,3.0,1469.7690000000002,0.0,5.692299999999932,5.622299999999932,1.8740999999999772
2020-01-03T13:30,long,2020-01-03 13:31:00+00:00,1543.4433,2020-01-03 14:30:00+00:00,1546.001,timeout,0.01,3.0,1544.789,0.0,2.557700000000068,2.487700000000068,0.829233333333356
2020-02-07T13:30,short,2020-02-07 13:30:00+00:00,1563.9528000000003,2020-02-07 13:34:00+00:00,1567.1180000000002,stop,0.01,3.0,1566.9528000000003,0.0,-3.1651999999999134,-3.2351999999999133,-1.0783999999999712
2020-02-07T13:30,long,2020-02-07 13:32:00+00:00,1565.9229,2020-02-07 14:30:00+00:00,1571.93,timeout,0.01,3.0,1568.93,0.0,6.007100000000037,5.9371000000000365,1.9790333333333454
2020-03-06T13:30,short,2020-03-06 13:30:00+00:00,1678.7043,2020-03-06 13:30:00+00:00,1682.5680000000002,stop,0.01,3.0,1681.7043,0.0,-3.863700000000108,-3.933700000000108,-1.3112333333333692
2020-03-06T13:30,long,2020-03-06 13:30:00+00:00,1681.6317000000001,2020-03-06 13:33:00+00:00,1678.0207,stop,0.01,3.0,1678.6317000000001,0.0,-3.6110000000001037,-3.6810000000001035,-1.2270000000000345
2020-04-03T12:30,long,2020-04-03 12:30:00+00:00,1618.4383,2020-04-03 12:31:00+00:00,1614.8974,stop,0.01,3.0,1615.4383,0.0,-3.540899999999965,-3.610899999999965,-1.2036333333333216
2020-04-03T12:30,short,2020-04-03 12:30:00+00:00,1616.7196999999999,2020-04-03 12:37:00+00:00,1619.8457999999998,stop,0.01,3.0,1619.7196999999999,0.0,-3.1260999999999513,-3.196099999999951,-1.0653666666666504
2020-05-01T12:30,short,2020-05-01 12:30:00+00:00,1678.8932000000002,2020-05-01 12:31:00+00:00,1682.0575000000001,stop,0.01,3.0,1681.8932000000002,0.0,-3.164299999999912,-3.234299999999912,-1.0780999999999705
2020-05-01T12:30,long,2020-05-01 12:30:00+00:00,1680.5287999999998,2020-05-01 12:36:00+00:00,1677.2043999999999,stop,0.01,3.0,1677.5287999999998,0.0,-3.3243999999999687,-3.3943999999999686,-1.1314666666666562
2020-06-05T12:30,short,2020-06-05 12:30:00+00:00,1699.4708,2020-06-05 12:37:00+00:00,1694.6456,stop,0.01,3.0,1694.328,0.0,4.825199999999995,4.755199999999995,1.585066666666665
