scale,dist,hedge,sl,tp,trail,max_hold,exit,all_net_usd,all_per_event_R,all_profit_factor,all_event_winrate,all_max_dd_usd,all_t_stat,all_trades,is_net_usd,is_per_event_R,is_profit_factor,is_event_winrate,is_max_dd_usd,is_t_stat,is_trades,oos_net_usd,oos_per_event_R,oos_profit_factor,oos_event_winrate,oos_max_dd_usd,oos_t_stat,oos_trades
vol,0.35,False,1.5,0.0,0.5,60,trail,126.0,0.117,1.52,55.6,70.53,1.58,93,-1.67,-0.002,0.99,50.7,70.53,-0.03,58,127.67,0.311,2.8,63.4,29.69,2.47,35
vol,0.35,False,1.5,0.0,1.0,60,trail,188.65,0.175,1.66,47.2,95.66,1.83,93,31.19,0.047,1.15,38.8,95.66,0.38,58,157.46,0.384,3.2,61.0,34.74,2.57,35
vol,0.35,False,1.5,0.0,0.0,15,timeout,223.11,0.207,1.8,49.1,91.23,2.18,93,31.98,0.048,1.15,43.3,91.23,0.41,58,191.13,0.466,3.85,58.5,17.87,3.0,35
vol,0.35,False,1.5,0.0,0.0,30,timeout,246.78,0.229,1.84,48.1,83.53,2.24,93,63.01,0.094,1.3,43.3,83.53,0.73,58,183.77,0.448,3.29,56.1,19.62,2.73,35
vol,0.35,False,1.5,0.0,0.0,60,timeout,162.71,0.151,1.48,41.7,91.86,1.41,93,51.24,0.076,1.21,37.3,91.86,0.57,58,111.47,0.272,2.15,48.8,51.1,1.55,35
vol,0.6,True,0.25,0.5,0.0,60,target,517.41,0.479,1.8,51.9,94.91,3.23,103,283.73,0.423,1.67,49.3,75.51,2.23,65,233.68,0.57,2.08,56.1,94.91,2.38,38
vol,0.6,True,0.25,1.0,0.0,60,target,735.72,0.681,1.8,38.9,188.13,2.74,103,144.17,0.215,1.21,31.3,188.13,0.71,65,591.55,1.443,3.48,51.2,94.91,3.6,38
vol,0.6,True,0.25,2.0,0.0,60,target,1052.17,0.974,1.95,27.8,303.41,2.51,103,300.28,0.448,1.39,22.4,303.41,0.97,65,751.89,1.834,3.28,36.6,98.62,2.71,38
vol,0.6,True,0.25,0.0,0.25,60,trail,890.75,0.825,2.02,42.6,155.82,2.61,103,299.43,0.447,1.49,38.8,155.82,1.17,65,591.31,1.442,3.22,48.8,94.91,2.64,38
vol,0.6,True,0.25,0.0,0.5,60,trail,773.26,0.716,1.85,37.0,138.08,2.26,103,185.12,0.276,1.29,29.9,138.08,0.75,65,588.14,1.434,3.21,48.8,94.91,2.52,38
vol,0.6,True,0.25,0.0,1.0,60,trail,1083.63,1.003,2.02,31.5,313.86,2.26,103,340.58,0.508,1.46,25.4,313.86,0.93,65,743.05,1.812,3.36,41.5,129.52,2.41,38
vol,0.6,True,0.25,0.0,0.0,15,timeout,1452.77,1.345,2.47,34.3,125.53,2.96,103,545.37,0.814,1.77,26.9,125.53,1.51,65,907.4,2.213,4.17,46.3,94.91,2.77,38
vol,0.6,True,0.25,0.0,0.0,30,timeout,1429.25,1.323,2.31,29.6,162.52,2.68,103,624.01,0.931,1.83,25.4,162.52,1.52,65,805.25,1.964,3.35,36.6,94.91,2.36,38
vol,0.6,True,0.25,0.0,0.0,60,timeout,1137.94,1.054,1.95,22.2,238.18,2.01,103,570.81,0.852,1.72,20.9,238.18,1.32,65,567.13,1.383,2.39,24.4,229.58,1.54,38
vol,0.6,True,0.5,0.5,0.0,60,target,270.37,0.25,1.66,50.0,60.23,2.74,103,140.03,0.209,1.51,47.8,41.54,1.71,65,130.34,0.318,1.97,53.7,60.23,2.36,38
vol,0.6,True,0.5,1.0,0.0,60,target,321.95,0.298,1.5,44.4,99.0,2.18,103,62.31,0.093,1.13,38.8,99.0,0.56,65,259.64,0.633,2.46,53.7,87.11,2.75,38
vol,0.6,True,0.5,2.0,0.0,60,target,418.5,0.388,1.52,31.5,193.41,1.81,103,121.85,0.182,1.22,26.9,193.41,0.7,65,296.65,0.724,2.17,39.0,81.32,1.96,38
vol,0.6,True,0.5,0.0,0.25,60,trail,362.85,0.336,1.64,45.4,98.46,2.01,103,83.55,0.125,1.21,41.8,98.46,0.61,65,279.3,0.681,2.69,51.2,62.26,2.4,38
vol,0.6,True,0.5,0.0,0.5,60,trail,274.15,0.254,1.45,39.8,123.14,1.49,103,10.13,0.015,1.02,32.8,123.14,0.08,65,264.02,0.644,2.5,51.2,73.73,2.13,38
vol,0.6,True,0.5,0.0,1.0,60,trail,434.85,0.403,1.57,35.2,199.73,1.68,103,129.32,0.193,1.24,29.9,199.73,0.65,65,305.53,0.745,2.31,43.9,113.41,1.85,38
vol,0.6,True,0.5,0.0,0.0,15,timeout,608.25,0.563,1.89,38.0,116.59,2.35,103,196.74,0.294,1.41,31.3,116.59,1.03,65,411.51,1.004,3.08,48.8,75.93,2.39,38
vol,0.6,True,0.5,0.0,0.0,30,timeout,632.63,0.586,1.83,35.2,125.15,2.24,103,279.48,0.417,1.53,31.3,125.15,1.28,65,353.15,0.861,2.48,41.5,81.32,1.96,38
vol,0.6,True,0.5,0.0,0.0,60,timeout,453.04,0.419,1.52,26.9,205.6,1.51,103,252.36,0.377,1.44,25.4,201.74,1.09,65,200.67,0.489,1.66,29.3,205.6,1.03,38
vol,0.6,True,1.0,0.5,0.0,60,target,63.7,0.059,1.22,51.9,55.2,1.02,103,12.64,0.019,1.06,47.8,40.73,0.25,65,51.06,0.125,1.56,58.5,55.2,1.37,38
vol,0.6,True,1.0,1.0,0.0,60,target,81.9,0.076,1.18,40.7,81.34,0.87,103,-32.88,-0.049,0.9,32.8,79.43,-0.47,65,114.78,0.28,1.93,53.7,81.34,1.84,38
vol,0.6,True,1.0,2.0,0.0,60,target,135.26,0.125,1.23,38.0,142.92,0.97,103,-44.11,-0.066,0.9,31.3,142.92,-0.4,65,179.36,0.437,2.12,48.8,71.34,2.13,38
vol,0.6,True,1.0,0.0,0.25,60,trail,85.94,0.08,1.21,48.1,94.32,0.81,103,-51.16,-0.076,0.83,41.8,94.32,-0.62,65,137.1,0.334,2.34,58.5,42.18,2.14,38
vol,0.6,True,1.0,0.0,0.5,60,trail,34.86,0.032,1.08,40.7,101.86,0.31,103,-73.77,-0.11,0.77,32.8,101.86,-0.88,65,108.64,0.265,1.85,53.7,74.68,1.51,38
vol,0.6,True,1.0,0.0,1.0,60,trail,124.46,0.115,1.23,38.9,120.64,0.84,103,-16.0,-0.024,0.96,32.8,120.64,-0.14,65,140.46,0.343,1.88,48.8,104.65,1.54,38
vol,0.6,True,1.0,0.0,0.0,15,timeout,205.55,0.19,1.42,39.8,120.11,1.43,103,-9.87,-0.015,0.97,29.9,120.11,-0.09,65,215.42,0.525,2.69,56.1,70.76,2.34,38
vol,0.6,True,1.0,0.0,0.0,30,timeout,227.11,0.21,1.42,40.7,109.27,1.44,103,29.1,0.043,1.08,34.3,109.27,0.24,65,198.01,0.483,2.3,51.2,72.41,2.02,38
vol,0.6,True,1.0,0.0,0.0,60,timeout,116.19,0.108,1.18,34.3,121.28,0.69,103,16.66,0.025,1.04,29.9,119.35,0.13,65,99.53,0.243,1.51,41.5,121.28,0.94,38
vol,0.6,True,1.5,0.5,0.0,60,target,43.52,0.04,1.21,56.5,49.25,0.91,103,-1.13,-0.002,0.99,52.2,49.25,-0.03,65,44.65,0.109,1.79,63.4,26.13,1.7,38
vol,0.6,True,1.5,1.0,0.0,60,target,9.36,0.009,1.03,41.7,97.14,0.12,103,-75.07,-0.112,0.73,32.8,97.14,-1.34,65,84.43,0.206,2.04,56.1,53.4,1.73,38
vol,0.6,True,1.5,2.0,0.0,60,target,60.02,0.056,1.14,38.9,140.27,0.57,103,-63.48,-0.095,0.81,32.8,140.27,-0.76,65,123.49,0.301,2.16,48.8,46.74,1.98,38
vol,0.6,True,1.5,0.0,0.25,60,trail,26.04,0.024,1.08,52.8,98.16,0.33,103,-61.66,-0.092,0.74,46.3,98.16,-0.98,65,87.7,0.214,2.14,63.4,26.78,1.89,38
vol,0.6,True,1.5,0.0,0.5,60,trail,14.38,0.013,1.04,43.5,99.37,0.18,103,-69.7,-0.104,0.72,34.3,99.37,-1.09,65,84.08,0.205,2.04,58.5,30.67,1.76,38
vol,0.6,True,1.5,0.0,1.0,60,trail,45.6,0.042,1.11,39.8,132.84,0.42,103,-40.71,-0.061,0.87,34.3,132.84,-0.48,65,86.31,0.211,1.75,48.8,63.86,1.33,38
